2019-10-29 11:15:28 startup archives unpack
2019-10-29 11:15:28 install libexpat1:amd64 <none> 2.2.0-2+deb9u3
2019-10-29 11:15:28 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2019-10-29 11:15:28 status half-installed libexpat1:amd64 2.2.0-2+deb9u3
2019-10-29 11:15:28 status unpacked libexpat1:amd64 2.2.0-2+deb9u3
2019-10-29 11:15:28 status unpacked libexpat1:amd64 2.2.0-2+deb9u3
2019-10-29 11:15:28 install libpng16-16:amd64 <none> 1.6.28-1+deb9u1
2019-10-29 11:15:28 status half-installed libpng16-16:amd64 1.6.28-1+deb9u1
2019-10-29 11:15:28 status unpacked libpng16-16:amd64 1.6.28-1+deb9u1
2019-10-29 11:15:28 status unpacked libpng16-16:amd64 1.6.28-1+deb9u1
2019-10-29 11:15:28 install libfreetype6:amd64 <none> 2.6.3-3.2
2019-10-29 11:15:28 status half-installed libfreetype6:amd64 2.6.3-3.2
2019-10-29 11:15:28 status unpacked libfreetype6:amd64 2.6.3-3.2
2019-10-29 11:15:28 status unpacked libfreetype6:amd64 2.6.3-3.2
2019-10-29 11:15:28 install ucf:all <none> 3.0036
2019-10-29 11:15:28 status half-installed ucf:all 3.0036
2019-10-29 11:15:28 status unpacked ucf:all 3.0036
2019-10-29 11:15:28 status unpacked ucf:all 3.0036
2019-10-29 11:15:28 install fonts-dejavu-core:all <none> 2.37-1
2019-10-29 11:15:28 status half-installed fonts-dejavu-core:all 2.37-1
2019-10-29 11:15:29 status unpacked fonts-dejavu-core:all 2.37-1
2019-10-29 11:15:29 status unpacked fonts-dejavu-core:all 2.37-1
2019-10-29 11:15:29 install fontconfig-config:all <none> 2.11.0-6.7
2019-10-29 11:15:29 status half-installed fontconfig-config:all 2.11.0-6.7
2019-10-29 11:15:29 status unpacked fontconfig-config:all 2.11.0-6.7
2019-10-29 11:15:29 status unpacked fontconfig-config:all 2.11.0-6.7
2019-10-29 11:15:29 install libfontconfig1:amd64 <none> 2.11.0-6.7+b1
2019-10-29 11:15:29 status half-installed libfontconfig1:amd64 2.11.0-6.7+b1
2019-10-29 11:15:29 status unpacked libfontconfig1:amd64 2.11.0-6.7+b1
2019-10-29 11:15:29 status unpacked libfontconfig1:amd64 2.11.0-6.7+b1
2019-10-29 11:15:29 install fontconfig:amd64 <none> 2.11.0-6.7+b1
2019-10-29 11:15:29 status half-installed fontconfig:amd64 2.11.0-6.7+b1
2019-10-29 11:15:30 status unpacked fontconfig:amd64 2.11.0-6.7+b1
2019-10-29 11:15:30 status unpacked fontconfig:amd64 2.11.0-6.7+b1
2019-10-29 11:15:30 install libogg0:amd64 <none> 1.3.2-1
2019-10-29 11:15:30 status half-installed libogg0:amd64 1.3.2-1
2019-10-29 11:15:30 status unpacked libogg0:amd64 1.3.2-1
2019-10-29 11:15:30 status unpacked libogg0:amd64 1.3.2-1
2019-10-29 11:15:30 install libxau6:amd64 <none> 1:1.0.8-1
2019-10-29 11:15:30 status half-installed libxau6:amd64 1:1.0.8-1
2019-10-29 11:15:30 status unpacked libxau6:amd64 1:1.0.8-1
2019-10-29 11:15:30 status unpacked libxau6:amd64 1:1.0.8-1
2019-10-29 11:15:30 install sgml-base:all <none> 1.29
2019-10-29 11:15:30 status half-installed sgml-base:all 1.29
2019-10-29 11:15:30 status unpacked sgml-base:all 1.29
2019-10-29 11:15:30 status unpacked sgml-base:all 1.29
2019-10-29 11:15:30 install libssl1.1:amd64 <none> 1.1.0l-1~deb9u1
2019-10-29 11:15:30 status half-installed libssl1.1:amd64 1.1.0l-1~deb9u1
