	ACA>AAA	ACC>AAC	ACG>AAG	ACT>AAT	CCA>CAA	CCC>CAC	CCG>CAG	CCT>CAT	GCA>GAA	GCC>GAC	GCG>GAG	GCT>GAT	TCA>TAA	TCC>TAC	TCG>TAG	TCT>TAT	ACA>AGA	ACC>AGC	ACG>AGG	ACT>AGT	CCA>CGA	CCC>CGC	CCG>CGG	CCT>CGT	GCA>GGA	GCC>GGC	GCG>GGG	GCT>GGT	TCA>TGA	TCC>TGC	TCG>TGG	TCT>TGT	ACA>ATA	ACC>ATC	ACG>ATG	ACT>ATT	CCA>CTA	CCC>CTC	CCG>CTG	CCT>CTT	GCA>GTA	GCC>GTC	GCG>GTG	GCT>GTT	TCA>TTA	TCC>TTC	TCG>TTG	TCT>TTT	ATA>AAA	ATC>AAC	ATG>AAG	ATT>AAT	CTA>CAA	CTC>CAC	CTG>CAG	CTT>CAT	GTA>GAA	GTC>GAC	GTG>GAG	GTT>GAT	TTA>TAA	TTC>TAC	TTG>TAG	TTT>TAT	ATA>ACA	ATC>ACC	ATG>ACG	ATT>ACT	CTA>CCA	CTC>CCC	CTG>CCG	CTT>CCT	GTA>GCA	GTC>GCC	GTG>GCG	GTT>GCT	TTA>TCA	TTC>TCC	TTG>TCG	TTT>TCT	ATA>AGA	ATC>AGC	ATG>AGG	ATT>AGT	CTA>CGA	CTC>CGC	CTG>CGG	CTT>CGT	GTA>GGA	GTC>GGC	GTG>GGG	GTT>GGT	TTA>TGA	TTC>TGC	TTG>TGG	TTT>TGT
Signature 1	0.0056761061995	0.00635865405715	0.00167567344798	0.00320587737375	0.00442882387181	0.00611012694152	0.00163301925332	0.00481013790757	0.00565602276569	0.0051719800958	0.00115859551048	0.00327020051907	0.00654314363718	0.00786952108886	0.00292836680478	0.00805310997356	0.000921134879449	0.0017936925631	0.000666355725075	0.00152427839363	0.000862807372868	0.000584298277631	0.000926011729017	0.000924697074223	0.000413674672765	0.00214976102133	4.67197657461e-07	0.00065276744654	0.00100141796109	0.00145755792107	0.000392376162646	0.0016632679236	0.0150948548262	0.00995409354943	0.193027250316	0.00649197653233	0.014031004496	0.0153966360209	0.174812252248	0.0114543149878	0.0171370784878	0.0243970448385	0.19469375428	0.0129733862017	0.00774068544417	0.0124651832925	0.0978083081064	0.0072628462893	0.00142616856711	0.00128185594886	0.00144708954675	0.00329781982632	0.00048777266213	0.00125056048802	0.0010671129065	0.00122087808867	0.000322392558151	0.000391694171815	0.000749671426691	0.00107582390287	0.00209248560455	0.00112038398772	0.000555222314889	0.00160785287831	0.00493500876262	0.00339228449265	0.00521897446777	0.00365099804899	0.00172272070418	0.00345145022635	0.00502963794444	0.00376110691053	0.00526080646465	0.0049632583379	0.00310903955358	0.00544637172961	0.00301668877292	0.0027223193212	0.00424054989254	0.00252711573404	0.000563030141586	0.00096449134832	0.000713441887011	0.00124583261647	0.000124848686533	0.00137891442667	0.00114713979289	0.00154534460788	4.63250560397e-05	0.000143490363754	0.000742253804213	0.000408818874873	0.000522192846534	0.000723954003877	0.00103452407894	0.00162768553486
Signature 2	0.000579880784382	0.000714581595149	0.000185417335168	0.000276629201795	0.000755441609005	0.000295318451946	2.05658287826e-05	0.000462792652151	0.000401646155727	0.000199620444818	0.000557085243367	0.000149606797877	0.0134191108977	0.00764868599966	0.0035402974971	0.0108637079979	0.000223796328244	0.000311482893113	0.000409449990147	0.000521820365459	3.09695737749e-05	0.000386482595072	5.82048621837e-05	0.000347685738088	5.11606069007e-05	2.16602676831e-05	0.000126956713305	0.000326941324553	0.0330361891879	2.27305405964e-05	0.00347406353107	0.058619323984	0.00632073209814	0.00314674515654	0.00620445514322	0.00284112207321	0.0167487555202	0.00486056666308	0.0151249592813	0.00995603939333	0.00729189217827	0.00297724649666	0.000946015155415	0.00397769651704	0.372518077156	0.0959789679098	0.101991068738	0.200430460968	7.79657173287e-08	0.000101516708134	0.00045564721234	9.76772730201e-05	0.000105901322263	0.000506377242802	0.000274429281833	0.000534857886183	8.93243595011e-05	0.000346050929762	9.20334203707e-05	0.000182945111743	5.01105134444e-05	4.47044541382e-06	5.63419542744e-05	0.000185339531863	0.000767724436528	0.000382093487792	0.000492021388845	0.000974843240131	0.000374437762159	0.000428146853015	0.000431188785614	0.000521846194332	3.6305204958e-06	0.00021911058214	5.13524598478e-07	0.000490609562542	6.32535634298e-05	0.000437786863951	0.000162714581686	0.000392611654586	1.98590397184e-05	2.23063121947e-05	0.000233799419966	0.000142604149219	7.79432039777e-05	2.41120483415e-05	0.000271852018205	6.2438562147e-05	7.42224866295e-05	5.53498387852e-05	0.000114029364047	7.33264266792e-05	4.45159718976e-05	1.32929055495e-05	0.000174778092221	1.5828550672e-05
Signature 3	0.0183129417601	0.0200583345168	0.00388341201357	0.0135082865772	0.0203660127971	0.0211805451063	0.00579933549858	0.0159140818258	0.0107583311848	0.0157289921867	0.00282065819891	0.0144673960725	0.0100519065821	0.0189076202654	0.00282072103117	0.0139163024613	0.0198246623027	0.0136481574324	0.00958062374046	0.0193322126121	0.0182524430572	0.0181849607726	0.012336153427	0.0259919740836	0.013221764138	0.0142498668882	0.00507293856884	0.0212169996995	0.0138370888889	0.0229416634824	0.00525370199038	0.0278475105122	0.0147612977334	0.00998449383166	0.00648835125022	0.0122894926007	0.0156093200632	0.0114833671252	0.0103926196257	0.017376211571	0.0178932437149	0.0119071708695	0.00368215645181	0.0125680002512	0.0076599424286	0.0154040760261	0.00354431391711	0.00878238090497	0.00482712299671	0.00643702800844	0.00611675584155	0.00557610743359	0.00504324453426	0.0135037893421	0.0133288965074	0.0148877684447	0.00334973091731	0.00643018340258	0.00814032948551	0.00715613355316	0.00430397191089	0.00823883839049	0.00540082701482	0.0095958083835	0.00746568170067	0.00802002288519	0.00974128268946	0.0108152464585	0.00525885550089	0.0153138220937	0.00975525224692	0.010795171578	0.00517406268205	0.00716912989972	0.00615180925246	0.00619162504417	0.00550043284119	0.00991415111784	0.00502834657767	0.00702742758741	0.00134665211035	0.00127833625545	0.00752718349521	0.00447861013375	0.00131499896085	0.00618052615001	0.0121198720384	0.00789288134668	0.00313046230917	0.00515518469809	0.0165340233636	0.00582709757517	0.00327484817689	0.00557557232893	0.00911112551194	0.00847973117764
Signature 4	0.0253606690103	0.0291748538206	0.0279581534012	0.0169773221763	0.0420525226321	0.0694156317709	0.0218662833523	0.0392820120099	0.0350942997917	0.0486890474637	0.0579716307424	0.0257053551082	0.0239462141089	0.0515293247478	0.018182668088	0.0265284073102	0.0067396846411	0.00509851814341	0.00473608063081	0.00377273826141	0.00957812337606	0.0109663131625	0.0156542710363	0.00854747483548	0.0065335132591	0.011104519597	0.01583366126	0.00597798956005	0.00232205712571	0.0100568384731	0.00541983375699	0.00358491990678	0.00833775419518	0.00708127519918	0.00427775024718	0.0041220658782	0.0191562467521	0.0162798875815	0.0188845174406	0.0182770472546	0.00812022362202	0.00976221503032	0.0058737775642	0.0081699190654	0.00253974998125	0.00670455898205	0.001923166817	0.00552077665644	0.00231257934257	0.00286431438379	0.00699396227179	0.00160756846383	0.00420262151181	0.00990890417882	0.0333211400101	0.00875223728818	0.00438437091127	0.00500915079157	0.0112858260379	0.00312130189939	0.00228428204161	0.00350243048763	0.0056741773575	0.00246910167267	0.00404701384949	0.00146887917118	0.00566510944015	0.0019290821566	0.00291381758152	0.00232100458243	0.00974302339476	0.00410974620488	0.003876038052	0.00154127716664	0.00356394506461	0.00166469434634	0.00142133104811	0.00121823669135	0.00249110225451	0.00120711637331	0.0	0.000146887917118	0.00104909434077	0.000107171230922	0.0	0.00116050229121	0.00448179076159	0.000913276934419	0.0	0.0	0.00152740502769	0.000138724528862	0.0	0.000228419379628	0.00207591854543	0.000603558186653
Signature 5	0.0118989125752	0.0096972045909	0.00386607272854	0.00737259603802	0.0101153672077	0.00641711404097	0.00797611605604	0.0114783068834	0.0127219491239	0.0129343127378	0.0082226988107	0.0117635502247	0.0122875511824	0.013221096508	0.00781980124892	0.0149919794146	0.00929438294791	0.00789125343051	0.00403416255673	0.00936598045914	0.007880678934	0.00989101622677	0.007443923807	0.00981456165566	0.00594733373039	0.00753692845202	0.00322150584621	0.00689881343768	0.00222983541363	0.00869887592264	0.00264324744396	0.0054603673397	0.0173919455086	0.0138042292314	0.0293480900939	0.0131950204356	0.0238058078716	0.02268850669	0.0366313288076	0.0212917738939	0.0214364349735	0.0252065111157	0.0386192631772	0.0222713879677	0.00914667231271	0.022663666385	0.0150980880612	0.00968664974104	0.00491621601041	0.00622851960703	0.00922505419993	0.00687484249354	0.00323896243474	0.0063526835412	0.0117338313223	0.00853512673238	0.00490893093083	0.00444020580333	0.00662750614007	0.00405532097882	0.00535593033679	0.00596507530625	0.00566613655886	0.00644030341817	0.0195296392161	0.0115922735818	0.022805254604	0.0167688016357	0.00914473363761	0.0127788438594	0.0209288314142	0.0166208465817	0.0118674100665	0.010571179809	0.0137172066254	0.0124551648155	0.00992546688879	0.0123883261805	0.00999039938901	0.0109269409779	0.00191181285932	0.00189114251612	0.00440105330429	0.00234690156346	0.00131124525517	0.00355908834337	0.00798158413034	0.0100199276116	0.00118540552491	0.00036184897626	0.00578576447885	0.00262943582065	0.00302708350398	0.00447825691626	0.00480247676665	0.00840813408847
Signature 6	0.000858978019409	0.00192253178394	0.00055551102914	0.000965343341679	0.00670004607728	0.0198139580828	0.0164436785949	0.0377582078933	0.00162901568635	0.00514697032028	0.00390008652919	0.00630359703099	0.000897092303323	0.00201992600971	0.00139856367705	0.00302414586091	0.000656865544254	0.000823942193118	0.0	0.00091453579738	0.0	0.0	0.0	0.000132252917315	0.0	0.00266222602773	0.0	0.00123173735088	0.0	0.000139305242049	0.0	5.21404458777e-05	0.0157647730621	0.0111918814565	0.100880802892	0.00757032410054	0.00563865263929	0.00813934377676	0.162810488066	0.00575300190319	0.0443228017995	0.0685966906478	0.248676945837	0.0379664924625	0.00390499002623	0.00466672560863	0.0497125816116	0.00245060095625	0.00021021898882	0.00176252507606	0.0	0.00206532965362	4.07496894731e-05	0.00168787890607	0.000566825030639	0.000608806409784	0.0	0.00196148088889	0.000370252712522	0.00105927286048	7.38299365473e-05	0.000442962506299	0.0	0.000279312124228	0.00262773736026	0.00299095164422	0.0110369304769	0.000896275132705	0.00252648074733	0.00259673677856	0.0191303447841	0.00182641922935	0.00563745794955	0.00413312044444	0.00709651032333	0.00211854572095	0.00217798312815	0.00193796096506	0.00533408837862	0.00115715022894	0.0	0.000907967463424	0.000356030015384	0.00113008603689	4.07496894731e-05	0.00259673677856	0.00354265644149	0.00475975920376	0.0	0.00112084622222	0.000617087854203	0.00176545476746	0.000332234714463	0.00105203595246	0.000553537473253	0.00287292470634
Signature 7	0.00027248036175	0.000462836486361	0.0	0.000273987205185	0.001073197737	0.000665039642809	0.0	0.00115893933668	0.00027452213376	0.000119637066859	0.0	9.7681265226e-05	0.000711426921902	0.00187806035812	0.000342816440887	0.000913818991466	0.0	0.0	0.0	6.84968012961e-05	8.94331447498e-05	0.000443359761873	0.0014616753539	0.000267447539233	0.0	0.000478548267436	0.0	0.0	0.00014228538438	0.00093903017906	0.00051422466133	0.00049205638002	0.0	0.0182357575626	0.000149783773673	0.00294536245573	0.0674325911414	0.111615820052	0.0506714122685	0.0702495536385	0.0	0.0251237840404	0.000500757001298	0.0157266837014	0.0855135160127	0.271098012695	0.17003695468	0.0593279406767	0.000472348759244	0.000576041056465	0.000617125040895	0.00183875404825	0.0	0.00122528766068	0.000668650478496	0.00134307765184	0.0	0.0	0.00049916064295	0.000680034016167	0.000497673580092	0.00111972229694	0.000678416541168	0.00268969997283	0.000236174379622	7.20051320582e-05	0.000479986142919	0.000577894129449	0.000549371834682	0.000700164377531	0.00095521496928	0.00335769412959	0.000124593551941	9.44426438367e-05	0.000249580321475	0.00550827553095	0.00114464923421	0.00134366675633	0.00128899142822	0.00129105598696	0.0	0.0	0.000617125040895	0.0	0.0	0.000700164377531	0.000859693472352	0.000970000526326	0.0	0.0	0.00141428848836	0.00061203061455	0.0	0.000746481531294	0.000678416541168	0.000753115992391
Signature 8	0.0302015094526	0.0371593173542	0.00456724231592	0.0277885055379	0.0342576432452	0.0341352364511	0.00341107566862	0.0309921054829	0.0261670575812	0.0228559178194	0.00257250927461	0.0248410242029	0.0232214320895	0.0205110099551	0.00350787202982	0.0323733051784	0.00687372137482	0.00481331556524	0.00105696527333	0.00714171182982	0.0071477659096	0.00813411149653	0.00192974541437	0.00840167988263	0.00411534627558	0.00440103813273	0.000971100637674	0.00681220231209	0.00353735161374	0.00430821599354	5.3093882359e-05	0.00530275056418	0.0148603182851	0.00631511927957	0.0348425979932	0.0172080864008	0.00525445917244	0.00532684600383	0.0245284004048	0.0202841228352	0.00249851233965	0.00233537117938	0.0350897762533	0.00741286384004	0.00616835765527	0.00460458435183	0.011456004546	0.0103627208634	0.00762269958206	0.0108081396799	0.011621674846	0.0152941616737	0.00797622847363	0.0188963725844	0.0188657101713	0.0236480823331	0.00612238338001	0.00902035024471	0.0090983038736	0.0146259307755	0.00909797469304	0.0109005248283	0.00685029619329	0.0179620173605	0.00924329160699	0.00677099930937	0.00815746383914	0.0138475530463	0.00343205278257	0.0115578855401	0.00652560911535	0.0100189678014	0.00430323515381	0.00590827113064	0.00506354822925	0.00696982138861	0.00294516800254	0.00548111922472	0.00140280562725	0.0064976700848	0.00240669308806	0.00069004674935	0.00568455146575	0.00186494408466	0.0016079866319	0.00221523248571	0.0076170288396	0.00438468906437	0.000733089235226	0.000598486241827	0.00611533866333	0.00445655778599	0.00104754212542	0.00229829664801	0.00493988197677	0.00469230113968
Signature 9	0.0110734982047	0.00840157607071	0.00101452592657	0.00630968359077	0.0118727946268	0.00855853669751	0.0	0.0109897325042	0.0146273783886	0.0149101482598	0.0	0.0112475667597	0.0213949683272	0.00546986217298	0.0	0.0306620421701	0.00442939928187	0.00288412312875	0.0	0.00352599965366	0.00218071738044	0.00300299533246	0.0	0.00470988535893	0.00136356917182	0.00469993803841	0.0	0.00582226985207	0.00318033312971	0.00318015242615	0.0	0.00466596293892	0.00858196110862	0.00702221283522	0.0253631481643	0.00705199930733	0.0118727946268	0.010360333897	0.0250808149388	0.0117143302517	0.00768557169571	0.0111826111948	0.0298475084769	0.0133647557968	0.00481868656017	0.0106853121519	0.0109133449264	0.00914147841095	0.007742416439	0.00409676562977	0.00631637563978	0.0131660561708	0.00409314808633	0.00580944282647	0.00659932738092	0.00697438770408	0.00253171726739	0.00371017600038	0.00315555311023	0.00331635883428	0.0144947731763	0.00273030528115	0.012866275357	0.0101292435179	0.0161247020052	0.0102419140744	0.0163482663618	0.0175784641848	0.0114608146417	0.0139900868066	0.0199273807189	0.0277964727336	0.00767954237776	0.0124098990358	0.0105936425844	0.01160725592	0.0105171377465	0.0138537712414	0.00900639274987	0.022517526957	0.0214356157609	0.00497464397901	0.00483016960689	0.0137353991403	0.0160749088481	0.00758784369172	0.0163042205882	0.0514487440779	0.00607612144174	0.000767622620768	0.00563491626827	0.0170423995651	0.0338436099279	0.00819091584345	0.00808737308152	0.0397153792608
Signature 10	0.000467923783211	0.000908363023997	0.00044094851727	0.00618386474722	0.00272058350015	0.000978905248649	0.0016733992792	0.0139971365069	0.00125714684737	0.0025827971679	0.000491392918872	0.0084352083115	0.0261098130238	0.00949114566113	0.00521429026826	0.212663136948	0.000334231273722	0.000272508907199	0.0	0.000134431842331	0.0	0.0	0.0	0.0	0.0	0.000234799742537	0.0	0.000383418559614	0.0	0.0	0.0	6.89792854193e-05	0.0	0.00290676167679	0.0185198377253	0.00315914829478	0.00105312909683	0.0026104139964	0.0260572173476	0.00376173043622	0.0	0.01573158275	0.0663380440477	0.0145699052653	0.00258305636866	0.0194430265485	0.360122434334	0.0270398798844	0.0	0.000141317293314	0.0	0.000618641011689	0.0	8.58839258047e-05	0.000281205776867	0.000658981148438	0.0	9.26765802587e-05	0.0	0.00026692699195	0.0	0.000586017948979	0.0	0.00147806566774	0.001436899311	0.00367424962617	0.00174946746927	0.00206213670563	0.000269549331003	0.00163179459029	0.00140602888433	0.00146440255208	0.00391243746582	0.00936033460613	0.00440843770972	0.00827473675046	0.00146510147157	0.00710546763137	0.00432724663424	0.00522601789666	0.0	0.00282634586629	0.00100930815535	0.00706281821678	0.00118601705642	0.00154591066448	0.00346820458136	0.013326063224	0.0	0.00185353160517	0.000734739618286	0.00200195243963	0.00244183578595	0.00673920641325	0.00146460655313	0.0334148417029
